"Beaufort PRN", "DMR", "12.5", "446.987500", "441.987500", "Beaufort", "NORMAL", "Color Code Free", "Medium", "Medium", "60", "0", "HIGH", "No", "No", "No", "No", "Yes", "001.1", "000.0", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "PRN", "NONE", "1", "NONE", "2", "2"
"Beaufort SC Call", "DMR", "12.5", "446.987500", "441.987500", "Beaufort", "NORMAL", "Color Code Free", "Medium", "Medium", "60", "0", "HIGH", "No", "No", "No", "No", "No", "000.1", "000.0", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "SC Call", "NONE", "1", "NONE", "2", "1"
"Beaufort TAC 1", "DMR", "12.5", "446.987500", "441.987500", "Beaufort", "NORMAL", "Always", "Medium", "Medium", "60", "0", "HIGH", "No", "No", "No", "No", "Yes", "000.1", "000.0", "120", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "TAC 1", "NONE", "1", "NONE", "2", "1"
"Beaufort TAC 310", "DMR", "12.5", "446.987500", "441.987500", "Beaufort", "NORMAL", "Color Code Free", "Medium", "Medium", "60", "0", "HIGH", "No", "No", "No", "No", "Yes", "000.1", "000.0", "120", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "TAC 310", "NONE", "1", "NONE", "2", "1"
"BeaufortEchotest", "DMR", "12.5", "446.987500", "441.987500", "-NULL-", "NORMAL", "Color Code Free", "Medium", "Medium", "60", "0", "HIGH", "No", "No", "No", "No", "No", "000.1", "000.0", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "Echotest", "NONE", "1", "NONE", "2", "1"
"Beckley Local", "DMR", "12.5", "447.875000", "442.875000", "Beckley", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "Yes", "D141I", "005.0", "120", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "Local", "NONE", "1", "NONE", "2", "1"
"Beckley PRN", "DMR", "12.5", "447.875000", "442.875000", "Beckley", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "Yes", "D151I", "005.0", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "PRN", "NONE", "1", "NONE", "2", "2"
"Beech Island Lcl", "DMR", "12.5", "449.287500", "444.287500", "Beech Island", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "Yes", "D141I", "005.0", "120", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "Local", "NONE", "1", "NONE", "2", "1"
"Beech Island PRN", "DMR", "12.5", "449.287500", "444.287500", "Beech Island", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "Yes", "D151I", "005.0", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "PRN", "NONE", "1", "NONE", "2", "2"
"Bluefield Local", "DMR", "12.5", "449.450000", "444.450000", "Bluefield", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "Yes", "D141I", "005.0", "120", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "Local", "NONE", "1", "NONE", "2", "1"
"Bluefield PRN", "DMR", "12.5", "449.450000", "444.450000", "Bluefield", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "Yes", "D151I", "005.0", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "PRN", "NONE", "1", "NONE", "2", "2"
"Blufton Lcl", "DMR", "12.5", "449.737500", "444.737500", "Blufton", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "Yes", "D141I", "005.0", "120", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "Local", "NONE", "1", "NONE", "2", "1"
"Blufton PRN", "DMR", "12.5", "449.737500", "444.737500", "Blufton", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "Yes", "D151I", "005.0", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "PRN", "NONE", "1", "NONE", "2", "2"
"Boone Local", "DMR", "12.5", "448.037500", "443.037500", "Boone", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "Yes", "D141I", "005.0", "120", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "Local", "NONE", "1", "NONE", "2", "1"
"Boone PRN", "DMR", "12.5", "448.037500", "443.037500", "Boone", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "Yes", "D151I", "005.0", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "PRN", "NONE", "1", "NONE", "2", "2"
"Buxton Local", "DMR", "12.5", "449.062500", "444.062500", "Buxton", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "Yes", "D141I", "005.0", "120", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "TAC 1", "NONE", "1", "NONE", "2", "1"
"Buxton PRN", "DMR", "12.5", "449.062500", "444.062500", "Buxton", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "Yes", "D151I", "005.0", "120", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "Local", "NONE", "1", "NONE", "2", "2"
"CLR Timeslot MC", "DMR", "12.5", "449.975000", "444.975000", "Morehead City", "NORMAL", "Always", "Medium", "Medium", "60", "0", "HIGH", "No", "No", "No", "No", "No", "000.1", "000.0", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "Clear Timeslot", "NONE", "1", "NONE", "2", "1"
"Cary Local", "DMR", "12.5", "448.787500", "443.787500", "Cary", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "Yes", "D141I", "005.0", "120", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "Local", "NONE", "1", "NONE", "2", "1"
